                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.02626,                      1,                      1,                0.55883,              0.0066835,              0.0066835,              0.0066835
                     70,                0.02665,                      1,                      1,                0.55374,               0.006634,               0.006634,               0.006634
                     71,                0.03429,                      1,                      1,                0.55546,              0.0065845,              0.0065845,              0.0065845
                     72,                0.02731,                0.99327,                      1,                0.56124,               0.006535,               0.006535,               0.006535
                     73,                0.03678,                0.99663,                      1,                0.55841,              0.0064855,              0.0064855,              0.0064855
                     74,                0.03652,                 0.9899,                      1,                0.56088,               0.006436,               0.006436,               0.006436
                     75,                 0.0261,                0.99327,                      1,                0.55646,              0.0063865,              0.0063865,              0.0063865
                     76,                0.02355,                0.99663,                      1,                0.55906,               0.006337,               0.006337,               0.006337
                     77,                0.03042,                      1,                      1,                0.55456,              0.0062875,              0.0062875,              0.0062875
                     78,                 0.0302,                0.99327,                      1,                0.56098,               0.006238,               0.006238,               0.006238
                     79,                0.02718,                      1,                      1,                0.55564,              0.0061885,              0.0061885,              0.0061885
                     80,                0.02518,                      1,                      1,                0.55754,               0.006139,               0.006139,               0.006139
                     81,                0.02915,                      1,                      1,                0.55741,              0.0060895,              0.0060895,              0.0060895
                     82,                0.02319,                0.99327,                      1,                0.55931,                0.00604,                0.00604,                0.00604
                     83,                0.02784,                0.99663,                      1,                0.55682,              0.0059905,              0.0059905,              0.0059905
                     84,                0.03276,                0.99663,                      1,                  0.556,               0.005941,               0.005941,               0.005941
                     85,                0.02125,                      1,                      1,                0.55294,              0.0058915,              0.0058915,              0.0058915
                     86,                0.01892,                      1,                      1,                0.55266,               0.005842,               0.005842,               0.005842
                     87,                 0.0207,                      1,                      1,                0.55279,              0.0057925,              0.0057925,              0.0057925
                     88,                 0.0271,                      1,                      1,                0.55343,               0.005743,               0.005743,               0.005743
                     89,                0.02746,                      1,                      1,                0.55566,              0.0056935,              0.0056935,              0.0056935
                     90,                0.01902,                      1,                      1,                 0.5544,               0.005644,               0.005644,               0.005644
                     91,                0.02851,                      1,                      1,                0.55448,              0.0055945,              0.0055945,              0.0055945
                     92,                0.02888,                      1,                      1,                0.55343,               0.005545,               0.005545,               0.005545
                     93,                0.02529,                      1,                      1,                0.55415,              0.0054955,              0.0054955,              0.0054955
